,document,text,score,has_metrics,source_url,target,text_len
0,ГОСТ 34714-2021,Относительная погрешность измерения времени не должна превышать +/- 10%.,6.5,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
1,ГОСТ 34714-2021,"Скорость нарастания давления не более 0,1 МПа/с.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
2,ГОСТ 34714-2021,"Продолжительность выдержки - не менее 5 мин. 7.6.3 Утечка в затворах не должна превышать значений, установленных для соответствующих классов герметичности по ГОСТ 9544.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
3,ГОСТ 34714-2021,Продолжительность выдержки - не менее 3 мин. 7.5.2 Утечка воздуха через монтажные соединения и уплотнения комплектующего оборудования и трубопроводов не допускается.,5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
4,ГОСТ 34714-2021,"Скорость нарастания давления - не более 0,5 МПа/с.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
5,ГОСТ 34714-2021,При обнаружении резонансных точек устройство необходимо подвергать воздействию вибрации на каждой резонансной частоте в течение 30 мин.,5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
6,ГОСТ 34714-2021,"Использование образцов раствора пенообразователя, полученных в результате осаждения готовой пены, не допустимо, так как может привести к получению недостоверных результатов. 7.10.1 Определение дозирования пенообразователя на основе измерения расхода воды и пенообразователя 7.10.1.1 Сущность данного способа состоит в измерении расхода воды и расхода пенообразователя с последующим вычислением величины дозирования пенообразователя. 7.10.1.2 Расход пенообразователя определяют одновременно с расходом воды при проведении испытаний по 7.9.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,0,
7,ГОСТ 34714-2021,Необходимо непрерывно отслеживать частоту вибраций от 5 до 40 Гц при темпе не более 5 мин/октава и амплитуде колебаний 1 мм.,5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
8,ГОСТ 34714-2021,"Выбор способа определения кратности осуществляется разработчиком устройства. 7.11.2.1 Определение кратности способом взвешивания образца пены Сущность данного способа состоит в том, что плотность раствора пенообразователя с достаточной точностью может быть принята 1 кг/дм 3.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,0,
9,ГОСТ 34714-2021,"Если расхождение между полученным значением и вычисленным по 7.10.2.3 отличается более чем на 5%, требуется повторить испытания по 7.10.2.2 для определения новой калибровочной кривой.",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,1,
10,ГОСТ 34714-2021,"Интервалы записи данных можно увеличить до 30 с, если время выделения из пены 25% жидкой фазы превышает 5 мин. 7.11.3.5 На основании полученных данных строят график зависимости времени от объема выделившегося из пены раствора и определяют показатель устойчивости как время выделения из пены такого объема раствора, масса которого составляет заданный процент от массы пены (25% или 50%).",5.0,ИСТИНА,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/0/gost_34714-2021_ISO_7076-5-2014_mezhgosudarstvennyy_standart.html,0,
