,text
0,Относительная погрешность измерения времени не должна превышать +/- 10%.
1,Диаметр цилиндрической части контейнера - не менее 200 мм; в центре конического дна контейнера имеется отверстие диаметром (3 +/- 1) мм для вытекания жидкости; - мерный цилиндр ( 2 ) вместимостью не менее 200 см 3 с ценой деления не более 2 см 3.
2,"4.4.1 Маркировка устройства должна содержать следующие данные: - товарный знак или наименование предприятия-изготовителя; - наименование и обозначение устройства; - заводской номер; - дата изготовления; - рабочие давления и рабочие диапазоны устройства; - расход воды; - величина дозирования пенообразователя; - кратность формируемой пены; - масса устройства; - обозначение нормативного или технического документа, которому соответствует устройство (технические условия, стандарт и т.д.)."
3,"Скорость нарастания давления - не более 0,1 МПа/с."
4,4.5.1 Средний ресурс срабатываний устройства должен соответствовать требованиям ТД и составлять не менее 500 циклов включения.
5,4.5.2 Средний срок службы устройства до капитального ремонта должен соответствовать требованиям ТД и составлять не менее 10 лет.
6,5.3 В схеме управления устройством не должны быть применены электрические цепи с опасным напряжением.
7,"Скорость нарастания давления - не более 0,5 МПа/с."
8,"4.2.7 В устройстве должны быть предусмотрены: - предохранительное устройство, предотвращающее повышение давления сжатого воздуха (газа); - устройства для измерения давления воды, воздуха (газа) и пенообразователя на вводе; - фильтры; - устройства слива, при необходимости, жидкостей из всех полостей и трубопроводов."
9,4.4.2 Маркировка устройства должна быть четкой и сохраняться в течение всего срока службы.
10,"7.4.1 Прочность и плотность материала деталей, сварных швов и других соединений проверяют в рабочем положении (положении ""Пуск"") запорных органов устройства пробным гидравлическим давлением P пр , равным 1,5-кратному значению расчетного давления P , в течение не менее 5 мин."
11,Продолжительность выдержки - не менее 3 мин.
12,Необходимо непрерывно отслеживать частоту вибраций от 5 до 40 Гц при темпе не более 5 мин/октава и амплитуде колебаний 1 мм.
13,"Запись данных должна продолжаться не менее чем на 30 с дольше того момента, когда количество жидкости превысит 1/10 объема контейнера, или когда вся пена перейдет в жидкость, в зависимости от того, что наступит раньше."
14,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения."
15,"7.11.2.3 Определение кратности пены способом измерения объема выпадающего раствора Данный способ основан на прямом измерении объема раствора, собранного после перехода 100% пены в жидкую фазу, поэтому он является наиболее точным."
16,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения."
17,"7.11.3.5 На основании полученных данных строят график зависимости времени от объема выделившегося из пены раствора и определяют показатель устойчивости как время выделения из пены такого объема раствора, масса которого составляет заданный процент от массы пены (25% или 50%)."
18,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения."
19,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения."
20,Продолжительность выдержки - не менее 5 мин.
21,При обнаружении резонансных точек устройство необходимо подвергать воздействию вибрации на каждой резонансной частоте в течение 30 мин.
22,"Если расхождение между полученным значением и вычисленным по 7.10.2.3 отличается более чем на 5%, требуется повторить испытания по 7.10.2.2 для определения новой калибровочной кривой."
23,"Если резонансная частота не установлена, то устройство необходимо подвергать вибрациям на частоте от 5 до 40 Гц с амплитудой колебаний 1 мм в течение 1 ч."
24,"4.2.3 Параметры сигналов автоматического пуска должны соответствовать значениям, установленным изготовителем и указанным в ТД."
25,"Скорость нарастания давления не более 0,1 МПа/с."
26,Температура раствора должна составлять (21 +/- 2) °C.
27,"7.11.2 Определение кратности компрессионной пены Для определения кратности сбор пены по 7.11.1 осуществляют в контейнеры вместимостью (1,8 +/- 0,2) дм 3."
28,12.4.026 Система стандартов безопасности труда.
29,12.2.037 Система стандартов безопасности труда.
30,12.2.003 Система стандартов безопасности труда.
31,"3.1.6 устойчивость пены (drainage time): Показатель способности компрессионной пены сохранять первоначальные свойства, характеризуемый временем, по истечении которого из пены выделяется 25% и/или 50% раствора пенообразователя."
32,"Категории, условия эксплуатации, хранения и транспортирования в части воздействия климатических факторов внешней среды ГОСТ 18321 Статистический контроль качества."
33,"Нормы герметичности затворов ГОСТ 15150 Машины, приборы и другие технические изделия."
34,15.309 Система разработки и постановки продукции на производство.
35,12.4.124 Система стандартов безопасности труда.
36,"7.2 Визуальный контроль Все устройства, подлежащие испытаниям, предварительно осматривают на отсутствие очевидных дефектов."
37,7.11.3.6 За результат принимают среднеарифметическое значение времени выделения из пены заданного процента жидкой фазы (25% или 50%) для двух (или более) контейнеров.
38,"Интервалы записи данных можно увеличить до 30 с, если время выделения из пены 25% жидкой фазы превышает 5 мин."
39,"7.11.3.4 Каждые 15 с осуществляют измерения объема жидкости, образовавшегося в нижней части мерного цилиндра."
40,7.11.1.1 Сбор образцов пены осуществляют с помощью специального коллектора.
41,"7.12.4 В устройствах с комбинированным пуском проверяют срабатывание по 7.12.3 от всех видов пускового импульса, указанных в ТД на устройство."
42,"7.13.2 Воздействуют на пусковой элемент, измеряют прикладываемое усилие."
43,2.601 Единая система конструкторской документации.
44,7.11.1 Сбор образцов компрессионной пены.
45,"Для этого готовят образцы раствора пенообразователя объемом 100 мл в трех концентрациях: номинальной концентрации, номинальной концентрации плюс один (или два) процента, номинальной концентрации минус один (или два) процента."
46,7.10.1.1 Сущность данного способа состоит в измерении расхода воды и расхода пенообразователя с последующим вычислением величины дозирования пенообразователя.
47,Примечание - При вычислении объема раствора допускается принимать плотность раствора равной 1 кг/дм 3.
