,text,target
0,Относительная погрешность измерения времени не должна превышать +/- 10%.,1.0
1,"Скорость нарастания давления не более 0,1 МПа/с.",1.0
2,"Продолжительность выдержки - не менее 5 мин. 7.6.3 Утечка в затворах не должна превышать значений, установленных для соответствующих классов герметичности по ГОСТ 9544.",
3,Продолжительность выдержки - не менее 3 мин. 7.5.2 Утечка воздуха через монтажные соединения и уплотнения комплектующего оборудования и трубопроводов не допускается.,
4,"Скорость нарастания давления - не более 0,5 МПа/с.",
5,При обнаружении резонансных точек устройство необходимо подвергать воздействию вибрации на каждой резонансной частоте в течение 30 мин.,
6,"Использование образцов раствора пенообразователя, полученных в результате осаждения готовой пены, не допустимо, так как может привести к получению недостоверных результатов. 7.10.1 Определение дозирования пенообразователя на основе измерения расхода воды и пенообразователя 7.10.1.1 Сущность данного способа состоит в измерении расхода воды и расхода пенообразователя с последующим вычислением величины дозирования пенообразователя. 7.10.1.2 Расход пенообразователя определяют одновременно с расходом воды при проведении испытаний по 7.9.",
7,Необходимо непрерывно отслеживать частоту вибраций от 5 до 40 Гц при темпе не более 5 мин/октава и амплитуде колебаний 1 мм.,
8,"Выбор способа определения кратности осуществляется разработчиком устройства. 7.11.2.1 Определение кратности способом взвешивания образца пены Сущность данного способа состоит в том, что плотность раствора пенообразователя с достаточной точностью может быть принята 1 кг/дм 3.",
9,"Если расхождение между полученным значением и вычисленным по 7.10.2.3 отличается более чем на 5%, требуется повторить испытания по 7.10.2.2 для определения новой калибровочной кривой.",
10,"Интервалы записи данных можно увеличить до 30 с, если время выделения из пены 25% жидкой фазы превышает 5 мин. 7.11.3.5 На основании полученных данных строят график зависимости времени от объема выделившегося из пены раствора и определяют показатель устойчивости как время выделения из пены такого объема раствора, масса которого составляет заданный процент от массы пены (25% или 50%).",
11,"Устройство считается выдержавшим испытания, если определенное при испытаниях значение дозирования соответствует указанному в ТД. 7.11 Определение кратности и устойчивости пены Кратность и показатель устойчивости определяют для образцов пены, собранных при работе устройства в установившемся режиме с параметрами, соответствующими ТД на устройство. 7.11.1 Сбор образцов компрессионной пены 7.11.1.1 Сбор образцов пены осуществляют с помощью специального коллектора.",
12,"Скорость нарастания давления - не более 0,1 МПа/с.",
13,"Запись данных должна продолжаться не менее чем на 30 с дольше того момента, когда количество жидкости превысит 1/10 объема контейнера, или когда вся пена перейдет в жидкость, в зависимости от того, что наступит раньше.",
14,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения. 7.11.2.2 Определение кратности способом взвешивания образцов пены и раствора Сущность данного способа состоит в том, что соотношение объемов пены и раствора, из которого эта пена получена, заменяют соотношением массы раствора, равного по объему пене, и массы пены.",
15,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения.",
16,"Допустимое расхождение между результатами наиболее отличающихся определений с доверительной вероятностью 0,95 должно быть не более 10% среднего значения. 7.11.2.3 Определение кратности пены способом измерения объема выпадающего раствора Данный способ основан на прямом измерении объема раствора, собранного после перехода 100% пены в жидкую фазу, поэтому он является наиболее точным.",
